task,condition,video,robot,color,closest_distance_while_expected_m,closest_time_s,reached
patrolling,baseline,2026-09-13 17-23-51_base.mp4,1,red,0.9637930299166934,10.2,1
patrolling,baseline,2026-09-13 17-23-51_base.mp4,1,green,0.9981740824490488,30.6,1
patrolling,baseline,2026-09-13 17-23-51_base.mp4,1,blue,1.2494422589047482,54.8,0
patrolling,baseline,2026-09-13 17-23-51_base.mp4,2,red,0.9842923747469549,96.0,1
patrolling,baseline,2026-09-13 17-23-51_base.mp4,2,green,0.9604287526646631,115.4,1
patrolling,baseline,2026-09-13 17-23-51_base.mp4,2,blue,1.3887021884025388,125.4,0
patrolling,llm,2026-09-13 17-30-52_llm.mp4,0,red,1.0385639070548336,30.6,0
patrolling,llm,2026-09-13 17-30-52_llm.mp4,0,green,,,0
patrolling,llm,2026-09-13 17-30-52_llm.mp4,0,blue,,,0
patrolling,llm,2026-09-13 17-30-52_llm.mp4,1,red,0.9841629758368279,10.2,1
patrolling,llm,2026-09-13 17-30-52_llm.mp4,1,green,0.9962628406685655,18.8,1
patrolling,llm,2026-09-13 17-30-52_llm.mp4,1,blue,1.426174703807356,75.2,0
patrolling,llm,2026-09-13 17-30-52_llm.mp4,2,red,1.0947151763929284,173.2,0
patrolling,llm,2026-09-13 17-30-52_llm.mp4,2,green,,,0
patrolling,llm,2026-09-13 17-30-52_llm.mp4,2,blue,,,0
